NODE_NAME,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
PE-L3Agg-Naf-116-42-1,100,100,99.6377,99.6377,99.6377,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.7391,88.4058,75,53.6232,40.942,40.5797,37.3188,30.7971,26.087,23.1884,22.8261,22.8261,22.8261,100,100,100,100,100,100,100,100,100,100,99.6377,99.6377,99.6377
PE-L3Agg-Naf-116-42-2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE-L3Agg-Mish-117-2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE-L3Agg-Mish-117-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE-L3Agg-Sho-118-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE-L3Agg-Sho-118-2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.6377,99.6377,99.6377,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE-L3Agg-Sho-118-3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE-L3Agg-Nas-119-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.2754,99.2754,99.2754,100,99.2754,98.5507,98.5507,98.1884,98.1884,98.1884,100,100,100,100,100,100,100,100,100,100,100,99.6377,99.6377
PE-L3Agg-Nas-119-2,100,100,100,99.6377,99.6377,99.6377,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.1884,94.9275,93.8406,85.8696,85.8696,85.1449,78.6232,70.6522,65.942,65.2174,63.4058,63.4058,63.4058,100,100,100,100,100,100,100,100,100,98.5507,98.1884,97.1014,97.1014
PE-L3Agg-Ola-106-4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
